_id,formula,crystal_system,space_group_symbol,Sites
671e1961ab159a6f6ac9fdd6,C8,cubic,Fd-3m,8
671e1961ab159a6f6ac9fdd7,C12,trigonal,R-3m,12
671e1961ab159a6f6ac9fdd8,C10,cubic,Fd-3m,10
671e1961ab159a6f6ac9fdd9,C8,cubic,I4_132,8
671e1961ab159a6f6ac9fdda,C6,cubic,Im-3m,6
671e1961ab159a6f6ac9fddb,C12,cubic,Im-3m,12
671e1961ab159a6f6ac9fddc,C3,hexagonal,P6_222,3
671e1961ab159a6f6ac9fddd,C12,cubic,I4_132,12
671e1961ab159a6f6ac9fdde,C24,cubic,Ia-3d,24
671e1961ab159a6f6ac9fddf,C8,tetragonal,I4_1/amd,8
671e1961ab159a6f6ac9fde0,C16,monoclinic,C2/c,16
671e1961ab159a6f6ac9fde1,C12,tetragonal,I4_1/amd,12
671e1961ab159a6f6ac9fde2,C16,monoclinic,C2/c,16
671e1961ab159a6f6ac9fde3,C16,tetragonal,I4_1/amd,16
671e1961ab159a6f6ac9fde4,C8,cubic,Ia-3,8
671e1961ab159a6f6ac9fde5,C6,hexagonal,P6_222,6
671e1961ab159a6f6ac9fde6,C6,hexagonal,P6_422,6
671e1961ab159a6f6ac9fde7,C6,trigonal,R-3m,6
671e1961ab159a6f6ac9fde8,C8,tetragonal,I4_1/amd,8
671e1961ab159a6f6ac9fde9,C6,trigonal,R-3m,6
671e1961ab159a6f6ac9fdea,C36,trigonal,R-3m,36
671e1961ab159a6f6ac9fdeb,C18,trigonal,R-3m,18
671e1961ab159a6f6ac9fdec,C6,hexagonal,P6_122,6
671e1961ab159a6f6ac9fded,C16,orthorhombic,Fddd,16
671e1961ab159a6f6ac9fdee,C9,trigonal,R32,9
671e1961ab159a6f6ac9fdef,C12,cubic,I432,12
671e1961ab159a6f6ac9fdf0,C32,cubic,Fd-3m,32
671e1961ab159a6f6ac9fdf1,C16,cubic,Fd-3m,16
671e1961ab159a6f6ac9fdf2,C8,cubic,Pn-3m,8
671e1961ab159a6f6ac9fdf3,C16,cubic,Pn-3m,16
671e1961ab159a6f6ac9fdf4,C4,hexagonal,P6_3/mmc,4
671e1961ab159a6f6ac9fdf5,C6,hexagonal,P-6m2,6
671e1961ab159a6f6ac9fdf6,C16,cubic,Im-3m,16
671e1961ab159a6f6ac9fdf7,C32,cubic,Im-3m,32
671e1961ab159a6f6ac9fdf8,C48,cubic,Im-3m,48
671e1961ab159a6f6ac9fdf9,C80,cubic,Im-3m,80
671e1961ab159a6f6ac9fdfa,C24,cubic,Pn-3m,24
671e1961ab159a6f6ac9fdfb,C8,orthorhombic,I2_12_12_1,8
671e1961ab159a6f6ac9fdfc,C16,tetragonal,I4_1/amd,16
671e1961ab159a6f6ac9fdfd,C48,cubic,Im-3m,48
671e1961ab159a6f6ac9fdfe,C96,cubic,Fd-3m,96
671e1961ab159a6f6ac9fdff,C6,hexagonal,P6_122,6
671e1961ab159a6f6ac9fe00,C4,tetragonal,P4_122,4
671e1961ab159a6f6ac9fe01,C6,hexagonal,P6_3/mmc,6
671e1961ab159a6f6ac9fe02,C24,cubic,Pa-3,24
671e1961ab159a6f6ac9fe03,C8,tetragonal,I4/mmm,8
671e1961ab159a6f6ac9fe04,C24,tetragonal,I4/mmm,24
671e1961ab159a6f6ac9fe05,C40,tetragonal,I4/mmm,40
671e1961ab159a6f6ac9fe06,C40,tetragonal,I4/mmm,40
671e1961ab159a6f6ac9fe07,C48,cubic,Im-3m,48
